,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,6.3,2.5,5.0,1.9,2.0
1,6.0,2.7,5.1,1.6,1.0
2,5.0,3.5,1.6,0.6,0.0
3,5.6,2.9,3.6,1.3,1.0
4,6.8,3.2,5.9,2.3,2.0
5,6.4,3.1,5.5,1.8,2.0
6,6.6,2.9,4.6,1.3,1.0
7,6.2,2.9,4.3,1.3,1.0
8,6.7,3.3,5.7,2.1,2.0
9,6.9,3.1,5.1,2.3,2.0
10,6.5,3.2,5.1,2.0,2.0
11,5.9,3.2,4.8,1.8,1.0
12,6.7,3.1,4.7,1.5,1.0
13,5.5,2.5,4.0,1.3,1.0
14,5.8,4.0,1.2,0.2,0.0
15,5.1,3.3,1.7,0.5,0.0
16,5.0,3.0,1.6,0.2,0.0
17,7.2,3.6,6.1,2.5,2.0
18,4.5,2.3,1.3,0.3,0.0
19,5.1,3.8,1.9,0.4,0.0
20,5.0,3.4,1.5,0.2,0.0
21,6.5,3.0,5.2,2.0,2.0
22,4.9,3.1,1.5,0.1,0.0
23,4.6,3.6,1.0,0.2,0.0
24,6.1,2.8,4.7,1.2,1.0
25,5.7,2.5,5.0,2.0,2.0
26,5.0,3.6,1.4,0.2,0.0
27,6.7,2.5,5.8,1.8,2.0
28,5.7,2.8,4.1,1.3,1.0
29,4.4,3.2,1.3,0.2,0.0
30,6.1,2.9,4.7,1.4,1.0
31,5.1,3.8,1.6,0.2,0.0
32,6.5,3.0,5.5,1.8,2.0
33,4.7,3.2,1.3,0.2,0.0
34,6.7,3.3,5.7,2.5,2.0
35,6.9,3.1,5.4,2.1,2.0
36,7.7,2.8,6.7,2.0,2.0
37,4.6,3.2,1.4,0.2,0.0
38,7.2,3.2,6.0,1.8,2.0
39,5.4,3.9,1.3,0.4,0.0
40,5.5,2.4,3.8,1.1,1.0
41,6.4,3.2,5.3,2.3,2.0
42,5.8,2.8,5.1,2.4,2.0
43,5.8,2.7,3.9,1.2,1.0
44,5.9,3.0,5.1,1.8,2.0
45,4.8,3.0,1.4,0.1,0.0
46,5.3,3.7,1.5,0.2,0.0
47,4.4,2.9,1.4,0.2,0.0
48,5.5,4.2,1.4,0.2,0.0
49,4.6,3.4,1.4,0.3,0.0
50,6.9,3.2,5.7,2.3,2.0
51,4.8,3.4,1.6,0.2,0.0
52,6.2,3.4,5.4,2.3,2.0
53,5.7,2.9,4.2,1.3,1.0
54,6.0,2.2,4.0,1.0,1.0
55,6.3,2.9,5.6,1.8,2.0
56,4.9,2.4,3.3,1.0,1.0
57,5.0,3.4,1.6,0.4,0.0
58,5.1,2.5,3.0,1.1,1.0
59,5.4,3.7,1.5,0.2,0.0
60,7.6,3.0,6.6,2.1,2.0
61,5.0,3.5,1.3,0.3,0.0
62,5.7,3.8,1.7,0.3,0.0
63,5.6,2.5,3.9,1.1,1.0
64,6.4,2.8,5.6,2.1,2.0
65,6.1,2.6,5.6,1.4,2.0
66,6.4,2.8,5.6,2.2,2.0
67,5.8,2.7,4.1,1.0,1.0
68,6.1,3.0,4.9,1.8,2.0
69,6.0,2.9,4.5,1.5,1.0
70,6.6,3.0,4.4,1.4,1.0
71,4.8,3.1,1.6,0.2,0.0
72,6.1,2.8,4.0,1.3,1.0
73,6.3,2.3,4.4,1.3,1.0
74,6.3,2.5,4.9,1.5,1.0
75,6.7,3.1,5.6,2.4,2.0
76,6.2,2.8,4.8,1.8,2.0
77,6.4,2.7,5.3,1.9,2.0
78,4.8,3.4,1.9,0.2,0.0
79,5.0,2.0,3.5,1.0,1.0
80,5.5,3.5,1.3,0.2,0.0
81,5.6,2.7,4.2,1.3,1.0
82,6.1,3.0,4.6,1.4,1.0
83,6.7,3.0,5.0,1.7,1.0
84,6.3,3.4,5.6,2.4,2.0
85,6.5,3.0,5.8,2.2,2.0
86,5.7,4.4,1.5,0.4,0.0
87,7.7,2.6,6.9,2.3,2.0
88,7.0,3.2,4.7,1.4,1.0
89,7.4,2.8,6.1,1.9,2.0
90,5.4,3.4,1.7,0.2,0.0
91,5.8,2.6,4.0,1.2,1.0
92,6.0,3.4,4.5,1.6,1.0
93,6.7,3.0,5.2,2.3,2.0
94,5.5,2.4,3.7,1.0,1.0
95,5.0,2.3,3.3,1.0,1.0
96,5.8,2.7,5.1,1.9,2.0
97,5.2,3.4,1.4,0.2,0.0
98,5.7,2.8,4.5,1.3,1.0
99,5.0,3.2,1.2,0.2,0.0
100,5.5,2.3,4.0,1.3,1.0
101,4.3,3.0,1.1,0.1,0.0
102,7.3,2.9,6.3,1.8,2.0
103,7.7,3.8,6.7,2.2,2.0
104,5.6,2.8,4.9,2.0,2.0
