,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
146,6.3,2.5,5.0,1.9,2
105,7.6,3.0,6.6,2.1,2
38,4.4,3.0,1.3,0.2,0
119,6.0,2.2,5.0,1.5,2
66,5.6,3.0,4.5,1.5,1
97,6.2,2.9,4.3,1.3,1
7,5.0,3.4,1.5,0.2,0
126,6.2,2.8,4.8,1.8,2
101,5.8,2.7,5.1,1.9,2
132,6.4,2.8,5.6,2.2,2
34,4.9,3.1,1.5,0.1,0
8,4.4,2.9,1.4,0.2,0
110,6.5,3.2,5.1,2.0,2
33,5.5,4.2,1.4,0.2,0
91,6.1,3.0,4.6,1.4,1
37,4.9,3.1,1.5,0.1,0
59,5.2,2.7,3.9,1.4,1
28,5.2,3.4,1.4,0.2,0
56,6.3,3.3,4.7,1.6,1
39,5.1,3.4,1.5,0.2,0
65,6.7,3.1,4.4,1.4,1
137,6.4,3.1,5.5,1.8,2
147,6.5,3.0,5.2,2.0,2
71,6.1,2.8,4.0,1.3,1
148,6.2,3.4,5.4,2.3,2
32,5.2,4.1,1.5,0.1,0
45,4.8,3.0,1.4,0.3,0
125,7.2,3.2,6.0,1.8,2
130,7.4,2.8,6.1,1.9,2
73,6.1,2.8,4.7,1.2,1
62,6.0,2.2,4.0,1.0,1
114,5.8,2.8,5.1,2.4,2
124,6.7,3.3,5.7,2.1,2
24,4.8,3.4,1.9,0.2,0
149,5.9,3.0,5.1,1.8,2
75,6.6,3.0,4.4,1.4,1
134,6.1,2.6,5.6,1.4,2
139,6.9,3.1,5.4,2.1,2
25,5.0,3.0,1.6,0.2,0
78,6.0,2.9,4.5,1.5,1
49,5.0,3.3,1.4,0.2,0
102,7.1,3.0,5.9,2.1,2
21,5.1,3.7,1.5,0.4,0
63,6.1,2.9,4.7,1.4,1
35,5.0,3.2,1.2,0.2,0
93,5.0,2.3,3.3,1.0,1
115,6.4,3.2,5.3,2.3,2
29,4.7,3.2,1.6,0.2,0
76,6.8,2.8,4.8,1.4,1
141,6.9,3.1,5.1,2.3,2
118,7.7,2.6,6.9,2.3,2
121,5.6,2.8,4.9,2.0,2
