,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
131,7.9,3.8,6.4,2.0,2
9,4.9,3.1,1.5,0.1,0
55,5.7,2.8,4.5,1.3,1
128,6.4,2.8,5.6,2.1,2
121,5.6,2.8,4.9,2.0,2
114,5.8,2.8,5.1,2.4,2
43,5.0,3.5,1.6,0.6,0
103,6.3,2.9,5.6,1.8,2
14,5.8,4.0,1.2,0.2,0
96,5.7,2.9,4.2,1.3,1
67,5.8,2.7,4.1,1.0,1
140,6.7,3.1,5.6,2.4,2
85,6.0,3.4,4.5,1.6,1
149,5.9,3.0,5.1,1.8,2
59,5.2,2.7,3.9,1.4,1
56,6.3,3.3,4.7,1.6,1
63,6.1,2.9,4.7,1.4,1
10,5.4,3.7,1.5,0.2,0
105,7.6,3.0,6.6,2.1,2
29,4.7,3.2,1.6,0.2,0
143,6.8,3.2,5.9,2.3,2
45,4.8,3.0,1.4,0.3,0
129,7.2,3.0,5.8,1.6,2
122,7.7,2.8,6.7,2.0,2
68,6.2,2.2,4.5,1.5,1
1,4.9,3.0,1.4,0.2,0
95,5.7,3.0,4.2,1.2,1
125,7.2,3.2,6.0,1.8,2
18,5.7,3.8,1.7,0.3,0
112,6.8,3.0,5.5,2.1,2
78,6.0,2.9,4.5,1.5,1
22,4.6,3.6,1.0,0.2,0
107,7.3,2.9,6.3,1.8,2
54,6.5,2.8,4.6,1.5,1
64,5.6,2.9,3.6,1.3,1
49,5.0,3.3,1.4,0.2,0
35,5.0,3.2,1.2,0.2,0
127,6.1,3.0,4.9,1.8,2
34,4.9,3.1,1.5,0.1,0
99,5.7,2.8,4.1,1.3,1
76,6.8,2.8,4.8,1.4,1
115,6.4,3.2,5.3,2.3,2
31,5.4,3.4,1.5,0.4,0
60,5.0,2.0,3.5,1.0,1
81,5.5,2.4,3.7,1.0,1
138,6.0,3.0,4.8,1.8,2
7,5.0,3.4,1.5,0.2,0
123,6.3,2.7,4.9,1.8,2
20,5.4,3.4,1.7,0.2,0
145,6.7,3.0,5.2,2.3,2
110,6.5,3.2,5.1,2.0,2
132,6.4,2.8,5.6,2.2,2
70,5.9,3.2,4.8,1.8,1
108,6.7,2.5,5.8,1.8,2
124,6.7,3.3,5.7,2.1,2
4,5.0,3.6,1.4,0.2,0
109,7.2,3.6,6.1,2.5,2
117,7.7,3.8,6.7,2.2,2
58,6.6,2.9,4.6,1.3,1
30,4.8,3.1,1.6,0.2,0
86,6.7,3.1,4.7,1.5,1
88,5.6,3.0,4.1,1.3,1
104,6.5,3.0,5.8,2.2,2
148,6.2,3.4,5.4,2.3,2
38,4.4,3.0,1.3,0.2,0
91,6.1,3.0,4.6,1.4,1
137,6.4,3.1,5.5,1.8,2
46,5.1,3.8,1.6,0.2,0
119,6.0,2.2,5.0,1.5,2
141,6.9,3.1,5.1,2.3,2
75,6.6,3.0,4.4,1.4,1
89,5.5,2.5,4.0,1.3,1
19,5.1,3.8,1.5,0.3,0
21,5.1,3.7,1.5,0.4,0
5,5.4,3.9,1.7,0.4,0
98,5.1,2.5,3.0,1.1,1
93,5.0,2.3,3.3,1.0,1
146,6.3,2.5,5.0,1.9,2
139,6.9,3.1,5.4,2.1,2
73,6.1,2.8,4.7,1.2,1
52,6.9,3.1,4.9,1.5,1
65,6.7,3.1,4.4,1.4,1
42,4.4,3.2,1.3,0.2,0
72,6.3,2.5,4.9,1.5,1
135,7.7,3.0,6.1,2.3,2
13,4.3,3.0,1.1,0.1,0
92,5.8,2.6,4.0,1.2,1
39,5.1,3.4,1.5,0.2,0
66,5.6,3.0,4.5,1.5,1
134,6.1,2.6,5.6,1.4,2
142,5.8,2.7,5.1,1.9,2
130,7.4,2.8,6.1,1.9,2
